/QB X,/QB Y,/Q X,/Q Y,/QB X,/QB Y,/Q X,/Q Y
3.41301657205628e-09,0.3478301737593529,3.41301657205628e-09,0.720091693252407,3.41301657205628e-09,0.3478301737593529,3.41301657205628e-09,0.720091693252407
3.451925117835392e-09,0.1910603080923377,3.451925117835392e-09,0.8781196576352341,3.451925117835392e-09,0.1910603080923377,3.451925117835392e-09,0.8781196576352341
3.473407182089573e-09,0.1001409176795243,3.473407182089573e-09,0.982014316923688,3.473407182089573e-09,0.1001409176795243,3.473407182089573e-09,0.982014316923688
3.499300911250622e-09,0.03185725336226733,3.499300911250622e-09,1.085229223094048,3.499300911250622e-09,0.03185725336226733,3.499300911250622e-09,1.085229223094048
3.518167551616446e-09,0.01188229661877051,3.518167551616446e-09,1.134217089159673,3.518167551616446e-09,0.01188229661877051,3.518167551616446e-09,1.134217089159673
3.542549675262787e-09,0.003029952557908117,3.542549675262787e-09,1.170234654990987,3.542549675262787e-09,0.003029952557908117,3.542549675262787e-09,1.170234654990987
3.564242081012914e-09,0.001089938587458423,3.564242081012914e-09,1.185708650706925,3.564242081012914e-09,0.001089938587458423,3.564242081012914e-09,1.185708650706925
3.590647632536849e-09,0.0003724625750883396,3.590647632536849e-09,1.194390024871629,3.590647632536849e-09,0.0003724625750883396,3.590647632536849e-09,1.194390024871629
3.619608930580648e-09,0.0001481579875454178,3.619608930580648e-09,1.198054547778312,3.619608930580648e-09,0.0001481579875454178,3.619608930580648e-09,1.198054547778312
3.656722495400755e-09,6.643369895060417e-05,3.656722495400755e-09,1.199569948477229,3.656722495400755e-09,6.643369895060417e-05,3.656722495400755e-09,1.199569948477229
3.705039149914119e-09,4.431616958195587e-05,3.705039149914119e-09,1.199982563041929,3.705039149914119e-09,4.431616958195587e-05,3.705039149914119e-09,1.199982563041929
3.775544801813089e-09,3.900254060925122e-05,3.775544801813089e-09,1.200042325231925,3.775544801813089e-09,3.900254060925122e-05,3.775544801813089e-09,1.200042325231925
